,0,1,2,3,4,5,countries,topics,tweet_clean
407,1.56e+18,2022-08-17 12:11:54+00:00,"Day 175 of WW3: Orcs say at least 2 people hurt in Crimea ammunition depot explosion. Orcs say ""no need"" to use nuclear weapons to reach Ukraine objectives, claim US weapons not having ""significant impact."" It's your Wednesday Ukraine war discussion. https://t.co/PcIdfPR4ei",Brussels,0,0,United Kingdom,Europe,Orcs least people hurt Crimea ammunition depot explosion Orcs need nuclear weapons reach Ukraine objectives claim weapons significant impact Wednesday Ukraine discussion
408,1.56e+18,2022-08-17 12:11:35+00:00,"⚠️ A discrepancy was found in the lists of Ukrainian prisoners of war, wounded and killed during the terrorist attack in Olenivka, published by Russia. That is why representatives of the International Committee of the Red Cross, the UN, and representatives of Ukraine are not https://t.co/5uKxK8KxmH",Brussels,0,0,United Kingdom,Europe,discrepancy found lists Ukrainian prisoners wounded killed terrorist attack Olenivka published Russia That representatives International Committee Cross representatives Ukraine
411,1.56e+18,2022-08-17 12:11:31+00:00,"#Ukraine #NATO #StopEndlessWar #Biden #POTUS I will never condone one nation, any nation, taking over control of others… we need peace and not forced control… https://t.co/1brOTpuZP0",Brussels,1,4,United Kingdom,Europe,never condone nation nation taking control others need peace forced control
413,1.56e+18,2022-08-17 12:11:08+00:00,"Make the Russians hurt too, this is a two way street.

Ukraine Strikes Again in Crimea, Posing a New Challenge for Putin https://t.co/NGxRv09Pti",Brussels,1,1,United Kingdom,Europe,Make Russians hurt street.Ukraine Strikes Again Crimea Posing Challenge Putin
416,1.56e+18,2022-08-17 12:11:06+00:00,https://t.co/DEUfSK4uGD Huge queues to leave Crimea as explosions spark terror ‘This is how the war came’ https://t.co/EvBqsW7uJt https://t.co/1zIGqQgfsN,Brussels,0,0,United Kingdom,Europe,Huge queues leave Crimea explosions spark terror This came
417,1.56e+18,2022-08-17 12:10:37+00:00,#India and #France have been expressing concern at the risk to the global food security and nutrition in light of the ongoing conflict between #Russia and #Ukraine https://t.co/3w9XZXUTwe,Brussels,0,1,United Kingdom,Europe,expressing concern risk global food security nutrition light ongoing conflict
419,1.56e+18,2022-08-17 12:10:36+00:00,"“Not those of 2014 or 2015, and not those of February 24, 2022. The final story is #Ukraine’s victory and the restoration of territories within the borders of 1991,” @oleksiireznikov 
 https://t.co/8HuKsBMYdw",Brussels,0,1,United Kingdom,Europe,February final story victory restoration territories within borders
420,1.56e+18,2022-08-17 12:10:00+00:00,"Ukraine Strikes Again in Crimea, Challenging Russian Hold on Peninsula https://t.co/XbJfESZK6I [@NYTimes]",Brussels,0,0,United Kingdom,Europe,Ukraine Strikes Again Crimea Challenging Russian Hold Peninsula
421,1.56e+18,2022-08-17 12:09:28+00:00,"“We do not have the resources to litter the territory with bodies and shells, as Russia does,” said @oleksiireznikov. “Therefore, it is necessary to fight in a different way.” 

Another Ukrainian official says they are inflicting “a thousand bee stings.”https://t.co/IOCv1hhvQO",Brussels,16,64,United Kingdom,Europe,resources litter territory bodies shells Russia said Therefore necessary fight different Another Ukrainian official says inflicting thousand stings
422,1.56e+18,2022-08-17 12:09:06+00:00,"Ukrainian attacks in Crimea represent a growing challenge to Putin, with the peninsula’s security key to Russia’s military effort — and to Putin’s political standing at home. | via @nytimes https://t.co/VSzfrimxnJ",Brussels,1,7,United Kingdom,Europe,Ukrainian attacks Crimea represent growing challenge Putin peninsulas security Russias military effort Putins political standing home
423,1.56e+18,2022-08-17 12:08:53+00:00,"Hearing talk about Russian visa bans, I can’t help but think: Russia has shown they believe they have the right to intervene anywhere there are Russians or Russian speakers. Ukraine, the Baltic countries, etc. Given that, why would ANY country allow Russians in their country?",Brussels,0,1,United Kingdom,Europe,Hearing talk Russian visa bans cant help think Russia shown believe right intervene anywhere Russians Russian speakers Ukraine Baltic countries Given would country allow Russians country
425,1.56e+18,2022-08-17 12:08:49+00:00,"JUST IN: According to recent studies, the metal contamination that was caused by the artillery bombardments that took place during Russia's illegal invasion of @Ukraine would impair crop yields for #Ukrainian farmers for at least a century. https://t.co/OWJktAgtAZ",Brussels,0,1,United Kingdom,Europe,JUST According recent studies metal contamination caused artillery bombardments took place Russia illegal invasion would impair crop yields farmers least century
427,1.56e+18,2022-08-17 12:08:38+00:00,"Kazakhstan should be seen as the canary in the Russian Empire coalmine, so to speak.

Far away from Ukraine and a country that has never once shown anything but 100% support for mother Russia seems to be breaking bonds that bind. 

No way this could have been made w/o permission https://t.co/3LkzEbTB9I",Brussels,4,8,United Kingdom,Europe,Kazakhstan seen canary Russian Empire coalmine speak.Far away Ukraine country never shown anything support mother Russia seems breaking bonds bind could made permission
428,1.56e+18,2022-08-17 12:08:32+00:00,"""This is one of hundreds of educational institutions targeted by the Russians in Ukraine.""

Why does Russia deliberately target educational facilities? Because they understand that it's easier to manipulate ignorant people. It's a very long term play. https://t.co/sI3LeuGzRz",Brussels,15,34,United Kingdom,Europe,This hundreds educational institutions targeted Russians Ukraine Russia deliberately target educational facilities Because understand easier manipulate ignorant people long term play
429,1.56e+18,2022-08-17 12:08:30+00:00,Crimea ‘sabotage’ highlights Russia’s woes in Ukraine war https://t.co/oFe7I4XtSI,Brussels,0,0,United Kingdom,Europe,Crimea sabotage highlights Russias woes Ukraine
